name;datetime_usa1;datetime_usa2;datetime_eu;internal_ip
Ashley Bradshaw;21/12/2019 03:11:35;December 21, 2019 03:11AM;2019-10-13 12:25:04;10.234.114.114
Ryan Jimenez;02/05/2019 19:26:00;May 02, 2019 07:26PM;2020-04-25 18:21:30;10.121.236.103
Juan Taylor;21/09/2019 02:50:03;September 21, 2019 02:50AM;2019-07-13 08:17:39;192.168.241.110
Tanya Merritt;03/01/2019 07:34:47;January 03, 2019 07:34AM;2019-08-14 14:05:43;10.42.131.205
Daniel Shelton;12/12/2019 21:16:44;December 12, 2019 09:16PM;2020-06-28 03:06:00;172.22.243.247
Phyllis Yang;08/09/2019 12:39:07;September 08, 2019 12:39PM;2019-12-29 21:55:58;10.120.188.48
Jose Glass;23/03/2019 10:43:03;March 23, 2019 10:43AM;2019-08-12 13:23:32;172.18.238.175
Judith Jones;22/12/2019 04:47:59;December 22, 2019 04:47AM;2020-01-22 16:11:30;10.228.198.192
Karen Brooks;02/08/2019 13:06:26;August 02, 2019 01:06PM;2020-10-15 17:10:47;10.196.23.62
William Rodriguez;12/04/2019 12:30:43;April 12, 2019 12:30PM;2020-09-13 14:24:12;192.168.128.123
Emily Floyd;26/05/2020 07:03:00;May 26, 2020 07:03AM;2019-03-17 10:07:41;172.17.63.142
Andrew Smith;24/05/2019 20:32:01;May 24, 2019 08:32PM;2019-02-20 12:21:51;172.26.130.221
Justin Navarro;15/11/2019 09:29:34;November 15, 2019 09:29AM;2019-12-30 15:04:33;10.254.247.116
Robert Mann;30/07/2019 11:21:15;July 30, 2019 11:21AM;2020-12-09 20:55:12;10.49.198.15
Shaun Wagner;20/03/2020 18:48:04;March 20, 2020 06:48PM;2020-08-21 12:08:27;172.25.206.70
David Petersen;06/09/2020 11:24:56;September 06, 2020 11:24AM;2019-12-07 21:05:21;172.24.190.70
Mary Jarvis;02/05/2019 07:54:27;May 02, 2019 07:54AM;2019-09-30 22:40:18;10.220.153.30
